Year,Screening Window,Grade,Text Type,Reporting Category,Domain,% Beginning,% Developing,% Secure,Median Mastery %,Standard,Description
2024-2025,Winter,7,Literature,Reading,Integration of Knowledge and Ideas,16,22,62,86,7.RL.9,"Compare and contrast a fictional portrayal of a time, place, or character and a historical account of the same period as a means
of understanding how authors offiction use or alter history."
2024-2025,Winter,7,Literature,Reading,Range of Reading and Level of Text Complexity,9,20,71,88,7.RL.10,"Independently and proficiently read and comprehend literary texts representing a variety of genres, cultures, and perspectives
and exhibiting complexity appropriate for atleast grade 7."
2024-2025,Winter,8,Informational Text,Reading,Key Ideas and Details,22,16,62,86,8.RI.1,"Cite the textual evidence that most strongly supports an analysis ofwhat a text states explicitly as well as inferences drawn from the text, quoting or paraphrasing as appropriate."
2024-2025,Winter,8,Informational Text,Reading,Key Ideas and Details,23,16,61,85,8.RI.2,"Determine a text’s central idea(s) and analyze its/their development overthe course ofthe text, including relationships to supporting ideas; provide an objective summary ofa text."
2024-2025,Winter,8,Informational Text,Reading,Key Ideas and Details,26,17,57,83,8.RI.3,"Analyze how a text makes connections among and distinctions between individuals, ideas, or events (e.g.,through
comparisons, analogies, or categories)."
2024-2025,Winter,8,Informational Text,Reading,Craft and Structure,16,20,64,88,8.RI.4,"Determine the meaning ofwords and phrases as they are used in a text, including figurative, connotative, and technical
meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
2024-2025,Winter,8,Informational Text,Reading,Craft and Structure,25,14,61,85,8.RI.5,"Analyze in detailthe structural elements ofa text, including the role of specific sentences, paragraphs, and textfeatures in
developing and refining a key concept."
2024-2025,Winter,8,Informational Text,Reading,Craft and Structure,31,21,48,77,8.RI.6,"Determine an author’s point ofview or purpose in a text and analyze how the author acknowledges and responds to conflicting
evidence or viewpoints."
2024-2025,Winter,8,Informational Text,Reading,Integration of Knowledge and Ideas,28,15,57,82,8.RI.7,"Evaluate the advantages and disadvantages ofusing different mediums (e.g., print or digitaltext, video, multimedia) to present
a particular topic or idea."
2024-2025,Winter,8,Informational Text,Reading,Integration of Knowledge and Ideas,37,25,38,71,8.RI.8,"Delineate and evaluate the argument and specific claims in a text, assessing whetherthe reasoning is sound and the evidence is relevant and sufficient;recognize when irrelevant evidence is introduced."
2024-2025,Winter,8,Informational Text,Reading,Integration of Knowledge and Ideas,26,16,58,84,8.RI.9,"Analyze a case in which two or more texts provide conflicting information on the same topic and identify where the texts
disagree on matters offact orinterpretation."
2024-2025,Winter,8,Informational Text,Reading,Range of Reading and Level of Text Complexity,42,28,29,65,8.RI.10,"Independently and proficiently read and comprehend literary nonfiction representing a variety of genres, cultures, and
perspectives and exhibiting complexity appropriate for atleast grade 8."
2024-2025,Winter,8,,Language,Vocabulary Acquisition and Use,11,20,69,91,8.L.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 8 reading and content,
choosing flexibly from a range of strategies."
2024-2025,Winter,8,,Language,Vocabulary Acquisition and Use,8,17,75,93,8.L.4.a,"Use context(e.g.,the overall meaning ofa sentence or paragraph; a word’s position orfunction in a sentence) as a clue to the
meaning of a word or phrase."
2024-2025,Winter,8,,Language,Vocabulary Acquisition and Use,19,21,60,84,8.L.4.b,"Use common, grade-appropriateGreek or Latin affixes and roots as clues to the meaning ofa word (e.g., precede, recede
secede)."
2024-2025,Winter,8,,Language,Vocabulary Acquisition and Use,16,20,64,88,8.L.4.c,"Consult general and specialized reference materials (e.g., dictionaries, glossaries,thesauruses), both print and digital,to find the
pronunciation ofa word or determine or clarify its precise meaning orits part of speech.or determine or clarify its precise meaning or its part of speech."
2024-2025,Winter,8,,Language,Vocabulary Acquisition and Use,8,18,74,93,8.L.4.d,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a
dictionary)."
2024-2025,Winter,8,,Language,Vocabulary Acquisition and Use,16,21,63,86,8.L.5,"Demonstrate understanding offigurative language, word relationships, and nuances in word meanings."
2024-2025,Winter,8,,Language,Vocabulary Acquisition and Use,8,15,77,94,8.L.5.a,"Interpretfigures of speech (e.g., verbal irony, puns) in context."
2024-2025,Winter,8,,Language,Vocabulary Acquisition and Use,8,20,72,92,8.L.5.b,Use the relationship between particularwords to better understand each ofthe words.
2024-2025,Winter,8,,Language,Vocabulary Acquisition and Use,43,31,26,64,8.L.5.c,"Distinguish among the connotations (associations) ofwords with similar denotations (definitions) (e.g., bullheaded, willful, firm,
persistent,resolute)."
2024-2025,Winter,8,,Language,Vocabulary Acquisition and Use,28,21,51,80,8.L.6,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; independently
research words and gather vocabulary knowledge."
2024-2025,Winter,8,Literature,Reading,Key Ideas and Details,31,21,48,77,8.RL.1,"Cite the textual evidence that most strongly supports analysis ofwhat a text states explicitly as well as inferences drawn from the text, quoting or paraphrasing as appropriate."
2024-2025,Winter,8,Literature,Reading,Key Ideas and Details,37,24,39,71,8.RL.2,"Determine a theme or central idea ofa text and analyze its development overthe course ofthe text, including its relationship to
the characters, setting, and plot; provide an objective summary ofa text."
2024-2025,Winter,8,Literature,Reading,Key Ideas and Details,28,22,49,79,8.RL.3,"Analyze how particularlines ofdialogue orincidents in a story, poem, or drama propelthe action,reveal aspects ofa character,
or provoke a decision."
2024-2025,Winter,8,Literature,Reading,Craft and Structure,35,21,44,74,8.RL.4,"Determine the meaning ofwords and phrases as they are used in a text, including figurative and connotative meanings; analyze
the impact of specific word choices on meaning,tone, or mood, including the impact ofallusion and irony."
2024-2025,Winter,8,Literature,Reading,Craft and Structure,22,16,62,86,8.RL.5,"Compare and contrast the structures oftwo or more texts, analyzing how structure contributes to meaning and style in each text."
2024-2025,Winter,8,Literature,Reading,Craft and Structure,31,26,43,75,8.RL.6,"Analyze how differences in point of view between characters and audience (e.g., created through the use ofdramatic iron
create such effects as suspense or humor."
2024-2025,Winter,8,Literature,Reading,Integration of Knowledge and Ideas,28,15,57,83,8.RL.7,"Analyze the extentto which an audio, filmed, or staged production ofa story, drama, or poem stays faithfulto or departs from
the originaltext or script, evaluating the choices made by the director or performer(s)."
2024-2025,Winter,8,Literature,Reading,Integration of Knowledge and Ideas,28,15,57,83,8.RL.9,"Analyze how a modern work offiction draws on themes, patterns ofevents, or charactertypes from myths,traditional stories, or
religious works such as the Bible, including describing how the material is rendered new."
2024-2025,Winter,8,Literature,Reading,Range of Reading and Level of Text Complexity,28,22,49,79,8.RL.10,"Independently and proficiently read and comprehend literary texts representing a variety ofgenres, cultures, and perspectives
and exhibiting complexity appropriate for at least grade 8."
2024-2025,Winter,9,Informational Text,Reading,Key Ideas and Details,8,6,86,90,9-10.RI.1,Cite strong and thorough textual evidence to support analysis ofwhat a text states explicitly as well as inferences drawn from the text.
2024-2025,Winter,9,Informational Text,Reading,Key Ideas and Details,14,46,40,76,9-10.RI.2,"Determine a central idea ofa text and analyze its development over the course ofthe text, including how it emerges and is
shaped and refined by specific details; provide an objective summary ofa text."
2024-2025,Winter,9,Informational Text,Reading,Key Ideas and Details,11,25,63,83,9-10.RI.3,"Analyze how an author unfolds an analysis or series ofideas or events, including the orderin which the points are made, how
they are introduced and developed, and the presence or absence ofconnections between them."
2024-2025,Winter,9,Informational Text,Reading,Craft and Structure,14,46,40,76,9-10.RI.4,"Determine the meaning(s) ofwords and phrases as they are used in a text, including figurative, connotative, and technical
meanings; analyze the cumulative or contradictory impact of specific word choices on meaning and tone (e.g., how the
language ofa court opinion differs from that ofa newspaper; how an author’s word choice varies from one part of a text to
another)."
2024-2025,Winter,9,Informational Text,Reading,Craft and Structure,24,41,35,71,9-10.RI.5,"Analyze in detail how an author’s ideas or claims are developed and refined by particular sentences, paragraphs, orlarge
portions ofa text(e.g., a section or chapter)."
2024-2025,Winter,9,Informational Text,Reading,Craft and Structure,13,43,44,77,9-10.RI.6,"Determine an author’s point ofview or purpose in a text and analyze how an author uses rhetoric to advance that point ofvie
or purpose."
2024-2025,Winter,9,Informational Text,Reading,Integration of Knowledge and Ideas,11,19,70,84,9-10.RI.7,"Analyze various accounts ofa subjecttold in different mediums (e.g., a person’s life story in both print and multimedi
determining which details are emphasized or deemphasized in each account."
2024-2025,Winter,9,Informational Text,Reading,Integration of Knowledge and Ideas,13,38,49,79,9-10.RI.8,"Delineate and evaluate the argument and specific claims in a text, assessing whetherthe reasoning is valid and the evidence is
relevant and sufficient; identify false statements orincomplete truths and fallacious reasoning."
2024-2025,Winter,9,Informational Text,Reading,Integration of Knowledge and Ideas,11,19,70,84,9-10.RI.9,"Analyze seminal documents ofhistorical and literary significance (e.g.,Washington’s Farewell Address, Lincoln’s Second
Inaugural and Gettysburg Addresses, Roosevelt’s Four Freedoms speech, King’s “Letterfrom Birmingham Jail”), including h
they address related themes and concepts."
2024-2025,Winter,9,Informational Text,Reading,Range of Reading and Level of Text Complexity,24,41,35,72,9-10.RI.10,"Independently and proficiently read and comprehend literary nonfiction representing a variety ofgenres, cultures, and
perspectives and exhibiting complexity appropriate forthe grade/course."
2024-2025,Winter,9,,Language,Vocabulary Acquisition and Use,2,10,89,92,9-10.L.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 9-10 reading and content,
choosing flexibly from a range of strategies."
2024-2025,Winter,9,,Language,Vocabulary Acquisition and Use,2,6,92,95,9-10.L.4.a,"Use context(e.g.,the overall meaning ofa sentence or paragraph; a word’s position orfunction in a sentence) as a clue to the
meaning of a word or phrase."
2024-2025,Winter,9,,Language,Vocabulary Acquisition and Use,2,8,90,94,9-10.L.4.b,"Identify and correctly use patterns ofword changes thatindicate different meanings or parts of speech (e.g., analyze, analysis
analytical; advocate, advocacy)."
2024-2025,Winter,9,,Language,Vocabulary Acquisition and Use,8,13,79,89,9-10.L.4.c,"Consult general and specialized reference materials (e.g., dictionaries, glossaries,thesauruses), both print and digital,to find the
pronunciation ofa word or determine or clarify its precise meaning, its part of speech, orits etymology."
2024-2025,Winter,9,,Language,Vocabulary Acquisition and Use,2,11,87,92,9-10.L.4.d,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a
dictionary)."
2024-2025,Winter,9,,Language,Vocabulary Acquisition and Use,11,25,63,83,9-10.L.5,"Demonstrate understanding offigurative language, word relationships, and nuances in word meanings."
2024-2025,Winter,9,,Language,Vocabulary Acquisition and Use,2,8,90,94,9-10.L.5.a,"Interpretfigures of speech (e.g., euphemism, oxymoron) in context and analyze theirrole in the text."
2024-2025,Winter,9,,Language,Vocabulary Acquisition and Use,11,30,59,82,9-10.L.5.b,Analyze nuances in the meaning ofwords with similar denotations.
2024-2025,Winter,9,,Language,Vocabulary Acquisition and Use,11,30,59,82,9-10.L.6,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; independently
research words and gather vocabulary knowledge."
2024-2025,Winter,9,Literature,Reading,Key Ideas and Details,11,25,63,82,9-10.RL.1,"Cite strong and thorough textual evidence to support analysis ofwhat a text states explicitly as well as inferences drawn from the
text."
2024-2025,Winter,9,Literature,Reading,Key Ideas and Details,13,38,49,79,9-10.RL.2,"Determine a theme or central idea ofa text and analyze in detail its development overthe course ofthe text, including how it
emerges and is shaped and refined by specific details; provide an objective summary ofa text."
2024-2025,Winter,9,Literature,Reading,Key Ideas and Details,13,44,43,77,9-10.RL.3,"Analyze how complex characters (e.g.,those with multiple or conflicting motivations) develop overthe course ofa text, interact
with other characters, and advance the plot or develop the theme."
2024-2025,Winter,9,Literature,Reading,Craft and Structure,13,35,52,81,9-10.RL.4,"Determine the figurative or connotative meaning(s) ofwords and phrases as they are used in a text; analyze the impact ofwords
with multiple meanings, as well as symbols or metaphors that extend throughout a text and shape its meaning."
2024-2025,Winter,9,Literature,Reading,Craft and Structure,11,17,71,86,9-10.RL.5,"Analyze how an author’s choices concerning how to structure a text, order events within it(e.g., parallel plots), and manipulat
time (e.g., pacing, flashbacks) create such effects as mystery,tension, or surprise."
2024-2025,Winter,9,Literature,Reading,Craft and Structure,13,30,57,82,9-10.RL.6,"Analyze a case in which a character’s point ofview and actions signal acceptance orrejection ofcultural norms orintellectua
ideas ofa period or place, drawing on a wide reading ofworld literature."
2024-2025,Winter,9,Literature,Reading,Integration of Knowledge and Ideas,11,19,70,84,9-10.RL.7,"Analyze a criticalresponse to a work or body ofliterature (e.g., author documentary, book review); provide a summary ofthe
argument presented and evaluate the strength ofthe evidence supporting it."
2024-2025,Winter,9,Literature,Reading,Integration of Knowledge and Ideas,11,19,70,84,9-10.RL.9,"Analyze how an author draws on and transforms source material in a specific work (e.g., how Shakespeare treats a theme or
topic from Ovid orthe Bible or how a later author draws on a play by Shakespeare)."
2024-2025,Winter,9,Literature,Reading,Range of Reading and Level of Text Complexity,11,24,65,83,9-10.RL.10,"Independently and proficiently read and comprehend literary texts representing a variety ofgenres, cultures, and perspectives
and exhibiting complexity appropriate forthe grade/course. (See more on qualitative and quantitative dimensions of text
complexity.)"
2024-2025,Winter,10,Informational Text,Reading,Key Ideas and Details,25,39,36,73,9-10.RI.1,Cite strong and thorough textual evidence to support analysis ofwhat a text states explicitly as well as inferences drawn from the text.
2024-2025,Winter,10,Informational Text,Reading,Key Ideas and Details,29,38,34,68,9-10.RI.2,"Determine a central idea ofa text and analyze its development over the course ofthe text, including how it emerges and is
shaped and refined by specific details; provide an objective summary ofa text."
2024-2025,Winter,10,Informational Text,Reading,Key Ideas and Details,29,39,32,68,9-10.RI.3,"Analyze how an author unfolds an analysis or series ofideas or events, including the orderin which the points are made, how
they are introduced and developed, and the presence or absence ofconnections between them."
2024-2025,Winter,10,Informational Text,Reading,Craft and Structure,21,36,43,76,9-10.RI.4,"Determine the meaning(s) ofwords and phrases as they are used in a text, including figurative, connotative, and technical
meanings; analyze the cumulative or contradictory impact of specific word choices on meaning and tone (e.g., how the
language ofa court opinion differs from that ofa newspaper; how an author’s word choice varies from one part of a text to
another)."
2024-2025,Winter,10,Informational Text,Reading,Craft and Structure,29,38,34,68,9-10.RI.5,"Analyze in detail how an author’s ideas or claims are developed and refined by particular sentences, paragraphs, orlarge
portions ofa text(e.g., a section or chapter)."
2024-2025,Winter,10,Informational Text,Reading,Craft and Structure,29,36,36,71,9-10.RI.6,"Determine an author’s point ofview or purpose in a text and analyze how an author uses rhetoric to advance that point ofvie
or purpose."
2024-2025,Winter,10,Informational Text,Reading,Integration of Knowledge and Ideas,20,29,52,81,9-10.RI.7,"Analyze various accounts ofa subjecttold in different mediums (e.g., a person’s life story in both print and multimedi
determining which details are emphasized or deemphasized in each account."
2024-2025,Winter,10,Informational Text,Reading,Integration of Knowledge and Ideas,25,39,36,74,9-10.RI.8,"Delineate and evaluate the argument and specific claims in a text, assessing whetherthe reasoning is valid and the evidence is
relevant and sufficient; identify false statements orincomplete truths and fallacious reasoning."
2024-2025,Winter,10,Informational Text,Reading,Integration of Knowledge and Ideas,20,27,54,81,9-10.RI.9,"Analyze seminal documents ofhistorical and literary significance (e.g.,Washington’s Farewell Address, Lincoln’s Second
Inaugural and Gettysburg Addresses, Roosevelt’s Four Freedoms speech, King’s “Letterfrom Birmingham Jail”), including h
they address related themes and concepts."
2024-2025,Winter,10,Informational Text,Reading,Range of Reading and Level of Text Complexity,29,36,36,72,9-10.RI.10,"Independently and proficiently read and comprehend literary nonfiction representing a variety ofgenres, cultures, and
perspectives and exhibiting complexity appropriate forthe grade/course."
2024-2025,Winter,10,,Language,Vocabulary Acquisition and Use,11,18,71,85,9-10.L.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 9-10 reading and content,
choosing flexibly from a range of strategies."
2024-2025,Winter,10,,Language,Vocabulary Acquisition and Use,7,13,80,91,9-10.L.4.a,"Use context(e.g.,the overall meaning ofa sentence or paragraph; a word’s position orfunction in a sentence) as a clue to the
meaning of a word or phrase."
2024-2025,Winter,10,,Language,Vocabulary Acquisition and Use,20,36,45,78,9-10.L.4.b,"Identify and correctly use patterns ofword changes thatindicate different meanings or parts of speech (e.g., analyze, analysis
analytical; advocate, advocacy)."
2024-2025,Winter,10,,Language,Vocabulary Acquisition and Use,13,16,71,85,9-10.L.4.c,"Consult general and specialized reference materials (e.g., dictionaries, glossaries,thesauruses), both print and digital,to find the
pronunciation ofa word or determine or clarify its precise meaning, its part of speech, orits etymology."
2024-2025,Winter,10,,Language,Vocabulary Acquisition and Use,7,14,79,89,9-10.L.4.d,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a
dictionary)."
2024-2025,Winter,10,,Language,Vocabulary Acquisition and Use,7,13,80,91,9-10.L.5,"Demonstrate understanding offigurative language, word relationships, and nuances in word meanings."
2024-2025,Winter,10,,Language,Vocabulary Acquisition and Use,14,20,66,83,9-10.L.5.a,"Interpretfigures of speech (e.g., euphemism, oxymoron) in context and analyze theirrole in the text."
2024-2025,Winter,10,,Language,Vocabulary Acquisition and Use,7,13,80,90,9-10.L.5.b,Analyze nuances in the meaning ofwords with similar denotations.
2024-2025,Winter,10,,Language,Vocabulary Acquisition and Use,11,23,66,83,9-10.L.6,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases; independently
research words and gather vocabulary knowledge."
2024-2025,Winter,10,Literature,Reading,Key Ideas and Details,14,20,66,84,9-10.RL.1,"Cite strong and thorough textual evidence to support analysis ofwhat a text states explicitly as well as inferences drawn from the
text."
2024-2025,Winter,10,Literature,Reading,Key Ideas and Details,29,36,36,72,9-10.RL.2,"Determine a theme or central idea ofa text and analyze in detail its development overthe course ofthe text, including how it
emerges and is shaped and refined by specific details; provide an objective summary ofa text."
2024-2025,Winter,10,Literature,Reading,Key Ideas and Details,20,30,50,80,9-10.RL.3,"Analyze how complex characters (e.g.,those with multiple or conflicting motivations) develop overthe course ofa text, interact
with other characters, and advance the plot or develop the theme."
2024-2025,Winter,10,Literature,Reading,Craft and Structure,14,25,61,82,9-10.RL.4,"Determine the figurative or connotative meaning(s) ofwords and phrases as they are used in a text; analyze the impact ofwords
with multiple meanings, as well as symbols or metaphors that extend throughout a text and shape its meaning."
2024-2025,Winter,10,Literature,Reading,Craft and Structure,14,20,66,83,9-10.RL.5,"Analyze how an author’s choices concerning how to structure a text, order events within it(e.g., parallel plots), and manipulat
time (e.g., pacing, flashbacks) create such effects as mystery,tension, or surprise."
2024-2025,Winter,10,Literature,Reading,Craft and Structure,25,39,36,72,9-10.RL.6,"Analyze a case in which a character’s point ofview and actions signal acceptance orrejection ofcultural norms orintellectua
ideas ofa period or place, drawing on a wide reading ofworld literature."
2024-2025,Winter,10,Literature,Reading,Integration of Knowledge and Ideas,18,16,66,83,9-10.RL.7,"Analyze a criticalresponse to a work or body ofliterature (e.g., author documentary, book review); provide a summary ofthe
argument presented and evaluate the strength ofthe evidence supporting it."
2024-2025,Winter,10,Literature,Reading,Integration of Knowledge and Ideas,46,21,32,61,9-10.RL.9,"Analyze how an author draws on and transforms source material in a specific work (e.g., how Shakespeare treats a theme or
topic from Ovid orthe Bible or how a later author draws on a play by Shakespeare)."
2024-2025,Winter,10,Literature,Reading,Range of Reading and Level of Text Complexity,13,18,70,85,9-10.RL.10,"Independently and proficiently read and comprehend literary texts representing a variety ofgenres, cultures, and perspectives
and exhibiting complexity appropriate forthe grade/course. (See more on qualitative and quantitative dimensions of text
complexity.)"
2024-2025,Spring,5,,Foundational Skills,Phonics and Word Recognition,,,,,5.RF.3,Know and apply grade-level phonics and word analysis skills in decoding words
2024-2025,Spring,5,,Foundational Skills,Phonics and Word Recognition,,,,,5.RF.3.a,"Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context"
2024-2025,Spring,5,,Foundational Skills,Fluency,,,,,5.RF.4,Read with sufficient accuracy and fluencty to support comprehension
2024-2025,Spring,5,,Foundational Skills,Fluency,,,,,5.RF.4.a,Read grade-level text with purpose and understanding
2024-2025,Spring,5,,Foundational Skills,Fluency,,,,,5.RF.4.b,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings."
2024-2025,Spring,5,,Foundational Skills,Fluency,,,,,5.RF.4.c,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
2024-2025,Spring,5,Informational Text,Reading,Key Ideas and Details,,,,,5.RI.1,Quote or paraphrase a text accurately when explaining whatthe text states explicitly and when drawing inferences from the text.
2024-2025,Spring,5,Informational Text,Reading,Key Ideas and Details,,,,,5.RI.2,Determine one or more main ideas ofa text and explain how they are supported by key details; summarize a text.
2024-2025,Spring,5,Informational Text,Reading,Key Ideas and Details,,,,,5.RI.3,"Explain the relationships or interactions between two or more individuals, events, ideas, or concepts in a historical, scientific, mathematical, ortechnicaltext based on specific information in the text."
2024-2025,Spring,5,Informational Text,Reading,Craft and Structure,,,,,5.RI.4,"Determine the meaning ofgeneral academic and domain-specific words and phrases in a textrelevantto a grade 5 topic or
subject area."
2024-2025,Spring,5,Informational Text,Reading,Craft and Structure,,,,,5.RI.5,"Describe how an author uses one or more structures (e.g., chronology, comparison, cause/effect, problem/solution) of events,to
present information in a text."
2024-2025,Spring,5,Informational Text,Reading,Craft and Structure,,,,,5.RI.6,"Analyze multiple accounts ofthe same event ortopic, noting important similarities and differences among the points of view they represent."
2024-2025,Spring,5,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,5.RI.7,"Draw on information from multiple print or digital sources, demonstrating the ability to locate an answerto a question quickly or to solve a problem efficiently."
2024-2025,Spring,5,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,5.RI.8,"Explain how an author uses reasons and evidence to support particular point in a text, identifying which reasons and evidence support which point(s)."
2024-2025,Spring,5,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,5.RI.9,Integrate information from several texts on the same topic in order to write or speak knowledgeably about the subject.
2024-2025,Spring,5,Informational Text,Reading,Range of Reading and Level of Text Complexity,,,,,5.RI.10,"Independently and proficiently read and comprehend informational texts, including history/social studies, science, mathematical, and technical texts, exhibiting complexity appropriate for at least grade 5."
2024-2025,Spring,5,,Language,Vocabulary Acquisition and Use,,,,,5.L.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 5 reading and content, chossing flexibly from a range of strategies."
2024-2025,Spring,5,,Language,Vocabulary Acquisition and Use,,,,,5.L.4.a,"Use context (e.g., casue/effect relationships and comparisions in text) as a clue to the meaning of a word or phrase."
2024-2025,Spring,5,,Language,Vocabulary Acquisition and Use,,,,,5.L.4.b,"Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., photograph, photosynthesis)."
2024-2025,Spring,5,,Language,Vocabulary Acquisition and Use,,,,,5.L.4.c,"Consult reference materials (e.g., dictionaries, glossaries, thesuaruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases."
2024-2025,Spring,5,,Language,Vocabulary Acquisition and Use,,,,,5.L.4.d,"Recognize and use appropriately abbreviations related to grade-level content or common in everyday life, including abbreviations derived from words or phrases in other langugaes (e.g., lb, oz., etc.)."
2024-2025,Spring,5,,Language,Vocabulary Acquisition and Use,,,,,5.L.4.e,"Recognize and use appropriately symbols related to grade-level content or common in everyday life, including symbols with multiple meanings (e.g., parentheses in mathematics and in writing, ""to measure angles and temperature)."
2024-2025,Spring,5,,Language,Vocabulary Acquisition and Use,,,,,5.L.5,"Demonstrate understanding of figurative langugae, word relationships and nuances in word meanings."
2024-2025,Spring,5,,Language,Vocabulary Acquisition and Use,,,,,5.L.5.a,"Interpret figurative language, including similies and metaphors in context."
2024-2025,Spring,5,,Language,Vocabulary Acquisition and Use,,,,,5.L.5.b,Recognize and explain the meaning of common idioms and proverbs.
2024-2025,Spring,5,,Language,Vocabulary Acquisition and Use,,,,,5.L.5.c,"Use the relationship between particular words (e.g., synonyms, antonyms, homographs) to better understand each of the words."
2024-2025,Spring,5,,Language,Vocabulary Acquisition and Use,,,,,5.L.6,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal contrast, addition, and other logical relationships (e.g., however, although, nevertheless, similarly, moreover, in addition)."
2024-2025,Spring,5,Literature,Reading,Key Ideas and Details,,,,,5.RL.1,Quote or paraphrase a text accurately when explaining whatthe text states explicitly and when drawing inferences from the text.
2024-2025,Spring,5,Literature,Reading,Key Ideas and Details,,,,,5.RL.2,"Determine a theme of a story, drama, or poem from details in the text, including how characters in a story or drama respond to challenges or how thespeaker in a poem relfects upon a topic; summarize a text."
2024-2025,Spring,5,Literature,Reading,Key Ideas and Details,,,,,5.RL.3,"Compare and contrast two or more characters, settings, or events in a story or drama, drawing on specific details in the text (e.g., how characters interact)."
2024-2025,Spring,5,Literature,Reading,Craft and Structure,,,,,5.RL.4,Determine the meaning of words and phrases as they are used in a text; identify and explain the effects of figurative language such as metaphors and similies
2024-2025,Spring,5,Literature,Reading,Craft and Structure,,,,,5.RL.5,"Explain how a series of chapters, scenes, or stanzas fits together to provide the overall structure of a particular sotry, drama, or poem."
2024-2025,Spring,5,Literature,Reading,Craft and Structure,,,,,5.RL.6,"Describe how a narrator's or speaker's point of view influences how events are described in a story, myth, poem, or drama."
2024-2025,Spring,5,Literature,Reading,Integration of Knowledge and Ideas,,,,,5.RL.7,"Analyze how visual and multimedia elements contribute to the meaning, tone, or beauty of a text."
2024-2025,Spring,5,Literature,Reading,Integration of Knowledge and Ideas,,,,,5.RL.9,"Compare and contrast stories in the same genre (e.g., mysteries or adventure stories) on their approaches to similar themes and topics."
2024-2025,Spring,5,Literature,Reading,Range of Reading and Level of Text Complexity,,,,,5.RL.10,"Independently and proficiently read and comprehend literary texts representing a variety ofgenres, cultures, and perspectives
and exhibiting complexity appropriate for atleast grade 5."
2024-2025,Spring,6,Informational Text,Reading,Key Ideas and Details,,,,,6.RI.1,"Cite textual evidence to support analysis ofwhat a text states explicitly as well as inferences drawn from the text, quoting or paraphrasing as appropriate"
2024-2025,Spring,6,Informational Text,Reading,Key Ideas and Details,,,,,6.RI.2,Determine a text’s central idea(s) and how particular details help convey the idea(s); provide a summary ofa text distinct from personal opinions orjudgments.
2024-2025,Spring,6,Informational Text,Reading,Key Ideas and Details,,,,,6.RI.3,"Analyze in detail how a key individual, event, oridea is introduced, illustrated, and elaborated in a text(e.g.,through examples or
anecdotes)."
2024-2025,Spring,6,Informational Text,Reading,Craft and Structure,,,,,6.RI.4,"Determine the meaning ofwords and phrases as they are used in a text, including figurative, connotative, and technical
meanings; explain how word choice affects meaning and tone."
2024-2025,Spring,6,Informational Text,Reading,Craft and Structure,,,,,6.RI.5,"Analyze how a particular sentence, paragraph, chapter, section, ortextfeature (e.g., heading) fits into the overall structure ofa
text and contributes to the development ofthe ideas."
2024-2025,Spring,6,Informational Text,Reading,Craft and Structure,,,,,6.RI.6,Determine an author’s point ofview or purpose in a text and explain how itis conveyed in the text.
2024-2025,Spring,6,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,6.RI.7,"Integrate information presented in different media orformats (e.g., in charts, graphs, photographs, videos, maps) as well as
words to develop a coherent understanding ofa topic or issue."
2024-2025,Spring,6,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,6.RI.8,"Trace and evaluate the argument and specific claims in a text, distinguishing claims that are supported by reasons and evidence
from claims that are not."
2024-2025,Spring,6,Informational Text,Reading,Integration of Knowledge and Ideas,,,,,6.RI.9,"Compare and contrast one author’s presentation ofevents with that ofanother(e.g., a memoirwritten by and a biography on
the same person)."
2024-2025,Spring,6,Informational Text,Reading,Range of Reading and Level of Text Complexity,,,,,6.RI.10,"Independently and proficiently read and comprehend literary nonfiction representing a variety ofgenres, cultures, and
perspectives and exhibiting complexity appropriate for atleast grade 6."
2024-2025,Spring,6,,Language,Vocabulary Acquisition and Use,,,,,6.L.4,"Determine or clarify the meaning ofunknown and multiple-meaning words and phrases based on grade 6 reading and content,
choosing flexibly from a range of strategies."
